Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta
10351563.0,2468750.0,5070313.0,812500.0,335938.0,593750.0,,4861545.4,-37535.6,-613152.4,120241.5,-41814.3,-416350.1,,0.302329359,-0.002215925,-0.042595824,0.112844081,-0.101661078,-0.039136765
3937500.0,2156250.0,4726563.0,507813.0,460938.0,476563.0,,-1552517.6,-350035.6,-956902.4,-184445.5,83185.7,-533537.1,,-0.096547829,-0.020664446,-0.066476208,-0.173098115,0.202245426,-0.050152301
7429688.0,3140625.0,4031250.0,875000.0,468750.0,687500.0,,1939670.4,634339.4,-1652215.4,182741.5,90997.7,-322600.1,,0.120624052,0.037448395,-0.114779747,0.171498987,0.221238367,-0.030324298
5703125.0,2859375.0,5515625.0,742188.0,601563.0,554688.0,,213107.4,353089.4,-167840.4,49929.5,223810.7,-455412.1,,0.013252704,0.020844726,-0.011659907,0.046857781,0.544140244,-0.042808579
6882813.0,1148438.0,4062500.0,796875.0,320313.0,398438.0,,1392795.4,-1357847.6,-1620965.4,104616.5,-57439.3,-611662.1,,0.086615038,-0.080160896,-0.112608803,0.098180355,-0.139649391,-0.057496024
5570313.0,2546875.0,4804688.0,757813.0,492188.0,742188.0,,80295.4,40589.4,-878777.4,65554.5,114435.7,-267912.1,,0.004993403,0.002396205,-0.061048848,0.061521508,0.278222052,-0.025183645
5835938.0,2351563.0,3500000.0,632813.0,445313.0,500000.0,,345920.4,-154722.6,-2183465.4,-59445.5,67560.7,-510100.1,,0.021512067,-0.009134091,-0.151685795,-0.055788304,0.164257113,-0.047949232
5398438.0,1867188.0,5460938.0,781250.0,375000.0,625000.0,,-91579.6,-639097.6,-222527.4,88991.5,-2752.3,-385100.1,,-0.005695144,-0.037729298,-0.015459024,0.083516628,-0.006691511,-0.036199276
6390625.0,3515625.0,6515625.0,578125.0,414063.0,585938.0,,900607.4,1009339.4,832159.6,-114133.5,36310.7,-424162.1,,0.056006894,0.05958662,0.057810301,-0.107111816,0.088280487,-0.03987109
7546875.0,2125000.0,3609375.0,851563.0,343750.0,507813.0,,2056857.4,-381285.6,-2074090.4,159304.5,-34002.3,-502287.1,,0.127911667,-0.022509298,-0.144087491,0.149503866,-0.082668137,-0.047214812
6781250.0,1539063.0,3148438.0,726563.0,250000.0,375000.0,,1291232.4,-967222.6,-2535027.4,34304.5,-127752.3,-635100.1,,0.080299047,-0.057100245,-0.176108881,0.032194055,-0.310598015,-0.059699187
5398438.0,1937500.0,3421875.0,656250.0,218750.0,546875.0,,-91579.6,-568785.6,-2261590.4,-36008.5,-159002.3,-463225.1,,-0.005695144,-0.03357841,-0.157113155,-0.033793183,-0.386574641,-0.043542998
8640625.0,2367188.0,5406250.0,695313.0,500000.0,507813.0,,3150607.4,-139097.6,-277215.4,3054.5,122247.7,-502287.1,,0.195929696,-0.008211665,-0.019258211,0.002866602,0.297214993,-0.047214812
6968750.0,1843750.0,5625000.0,656250.0,304688.0,375000.0,,1478732.4,-662535.6,-58465.4,-36008.5,-73064.3,-635100.1,,0.091959281,-0.039112967,-0.004061603,-0.033793183,-0.177637704,-0.059699187
